P,D,I,T,C
13.16,5.2,11.34,3.74,7.47
13.18,5.15,11.37,3.62,8.24
12.56,4.81,10.96,4.13,7.55
14.3,6.78,11.72,3.95,8.18
12.66,5.45,11.28,3.49,7.74
14.02,6.49,11.19,3.66,8.63
12.88,5.42,11.1,3.6,7.23
13.39,5.76,11.43,3.61,7.34
12.36,8.17,11.83,3.79,6.8
12.53,5.25,11.2,3.71,6.87
13.65,6.31,11.39,3.72,8.41
12.87,4.91,11.05,4.05,7.29
12.62,4.86,11.35,3.8,7.61
10.63,3.67,11.16,3.86,5.95
12.27,3.85,11.34,3.29,7.03
13.77,7.37,11.68,3.65,7.8
12.98,5.26,11.22,3.65,7.87
13.42,5.42,11.04,3.76,7.94
14.54,6.44,11.12,4.12,9
11.05,6.31,10.9,4.03,6.89
12.7,5.17,11.51,3.49,7.03
12.4,5.04,10.96,4.08,6.58
13.35,5.44,11.17,4.18,7.54
14.14,9.51,10.76,3.68,7.77
12.19,4.69,10.97,3.48,7
11.24,6.77,11.67,3.65,5.91
14.48,6.44,11.16,4.24,8.71
12.51,5.28,11.21,3.37,7.3
12.24,3.91,11.1,3.92,6.77
12.34,4.65,10.77,4.03,6.94
13.17,6.82,11.31,3.72,7.46
12.96,5.21,10.77,4.22,7.09
11.44,5.47,11.18,3.75,5.82
12.17,3.7,11.2,3.24,6.67
11.97,4.01,11.16,3.58,6.62
12.24,4.38,11.02,3.66,6.97
12.95,5.15,11.27,4.03,6.76
12.22,4.66,11.04,4.21,6.07
12.61,5.57,11.1,4.06,7.05
12.44,5.65,11.44,3.89,6.81
14.66,4.71,11.15,3.79,9.38
13.16,5.73,11.41,3.97,7.27
12.61,6.7,10.94,3.96,6.46
12.61,5.36,11.18,3.92,7.15
12.89,4.29,11.31,4.23,6.94
13.96,6.19,11.64,4,7.95
11.71,3.78,10.95,3.94,6.49
13.96,6.44,11.7,3.97,8.1
15.45,7.68,11.27,3.59,9.8
8.6,1.21,11.01,3.96,4.86
12.64,4.94,11.38,3.96,7.1
12.73,5.29,10.93,3.42,7.19
8.58,0.9,11.1,3.41,3.52
14.03,6.97,11,3.58,8.56
13,5.71,11.53,3.4,7.67
9.96,3.45,11.1,3.55,6.81
14.77,7.05,11.17,4.03,9.14
13.25,5.2,11.34,3.47,8.01
12.57,5.35,11.17,3.65,7.14
13.47,6.31,11.18,3.89,7.82
12.82,6.15,11.53,3.62,7.15
13.54,7.01,11.24,3.95,7.28
11.63,4.7,10.89,3.71,6.19
13.26,7.1,11.37,3.65,7.73
13.79,5.99,11.55,4.01,8.05
13.48,7.5,11.36,3.65,8.16
13.42,8.38,11.53,3.65,7.42
12.32,3.1,10.84,3.94,7.02
12.84,5.1,11.84,3.56,7.46
11.7,4.61,11.1,3.77,6.15
13.28,6.54,11.24,3.62,8.28
13.73,7,11.58,3.58,8.73
12.72,6.08,11.22,3.89,6.9
13.83,6.22,11.09,4.11,8.37
13.02,5.96,11.04,4.1,7.54
11.99,4.26,11.16,4,7.1
13.52,4.89,11.32,3.99,8.17
13.67,5.8,10.92,3.58,8.12
12.27,4.37,11.44,4.04,7.63
13.76,5.87,11.13,3.5,8.11
12.5,4.87,10.99,3.47,6.62
12.69,5.24,11.03,4.09,7.48
13.6,6.45,11.46,3.55,7.59
13.65,7.88,13.65,3.66,7.4
13.95,7.04,11.89,3.77,8.37
12.68,6.08,11.1,3.77,6.83
9.97,2.25,11.2,3.4,4.7
11.75,4.52,11.15,4.14,6.02
12.87,5.89,11.02,3.86,7.24
13.7,5.91,11.61,4.12,8.78
14.09,6.87,11.17,3.69,8.23
13.83,4.18,11.12,3.82,8.2
13.89,6.66,11.37,3.94,8.31
12.9,5.51,10.98,3.48,7.36
12.62,5.14,10.91,3.8,7.88
13.21,5.55,11.18,3.92,7.85
10.35,2.66,11.06,4.08,6.38
13.21,5.78,11.05,3.88,7.44
13.79,6.75,11.32,3.94,8.03
12.81,5.83,11.65,3.73,7.42
13.62,6.67,11.13,3.91,8.1
12.83,5.56,11.14,3.66,7.11
13.04,5.68,11.11,3.53,7.67
11.83,6.94,11.07,3.88,5.46
11.16,3.39,11.06,4.11,9.75
12.26,4.94,10.92,4.08,7.45
11.7,7.9,10.64,3.58,8.26
14.04,6.79,11.44,3.37,8.57
12.24,5.07,10.99,4.16,7.44
13.7,5.37,10.81,4.23,8.17
14.23,6.31,11.16,4.18,8.78
13.46,8.71,11.37,3.69,7.95
12.03,4.81,11.12,4.19,6.09
12.55,5.29,11.04,3.49,7.68
13.48,6.13,11.08,3.71,8.16
12.31,3.43,11.12,3.75,6.77
13.41,5.46,11.06,4.1,8.74
13.26,5.69,11.54,3.98,7.34
